Event,RunTime,ADC,SiPM,DownTime,Temp
747,315900,216,36.85,62350,24.44
748,315985,105,22.39,62371,24.44
749,316957,135,24.92,62559,24.44
750,317218,135,24.92,62747,24.44
751,317498,432,101.61,62752,24.44
752,317739,60,17.43,62757,24.44
753,317965,473,126.29,62762,24.44
754,318330,88,20.96,62953,24.44
755,318613,67,18.51,62958,24.44
756,318842,263,45.37,62963,24.44
757,318907,112,22.94,62968,24.44
758,319457,560,175.34,63156,24.44
759,319577,332,61.17,63161,24.44
760,319941,384,80.08,63166,24.44
761,320234,625,226.08,63356,24.44
762,320264,301,53.09,63361,24.44
763,320377,83,20.46,63366,24.44
764,320706,348,65.64,63371,24.44
765,320861,312,55.68,63376,24.44
766,321194,291,50.97,63565,24.44
767,321481,412,92.93,63570,24.44
768,321556,51,15.86,63575,24.44
769,322470,162,28.06,63763,24.44
770,322609,62,17.75,63768,24.44
